;;;TRATO POR CURRAL;;;;;;;;;;;
Id. Carregamento;Curral;Lote;;Trato;Peso Abastecido (kg);Dieta;;Data;Hora;Vagão;Tratador;Carregamento;%MS Dieta Real;%Ndt Dieta Real
166017320000000;51;51-G2-25;;2;275,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:29:52;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017320000000;54;54-G2-25;;2;300,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:29:14;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017320000000;58;58-G2-25;;2;62,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:23:45;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017320000000;67;67-G2-25;;2;310,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:25:48;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017320000000;68;68-G2-25;;2;385,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:26:11;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017320000000;69;69-G2-25;;2;375,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:26:32;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017320000000;70;70-G2-25;;2;365,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:26:58;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017320000000;66;66-G1-25;;2;235,0000;ADAPTACION SORGO 19/08/2025;;01/09/2025;12:25:23;BAHMAN;AGUSTIN LOPEZ;8 - ADAPTACION SORGO 19/08/2025 - BAHMAN - 2025-09-01 12:19;37,98%;72,50%
166017080000000;15;15-G1-25;;2;285,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;11:59:25;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
166017080000000;16;16-G2-25;;2;280,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;11:59:45;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
166017080000000;21;21-G2-25;;2;200,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;12:00:57;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
166017080000000;22;22-G2-25;;2;215,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;12:01:49;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
166017080000000;34;34-G2-25;;2;895,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;11:54:04;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
166017080000000;43;43-G3-25;;2;345,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;11:52:33;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
166017080000000;44;44-G3-25;;2;380,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;11:52:11;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
166017080000000;45;45-G3-25;;2;400,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;11:51:55;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
166017080000000;59;59-G2-25;;2;345,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;11:41:19;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
166017080000000;60;60-G2-25;;2;390,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;11:41:01;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
166017080000000;61;61-G2-25;;2;365,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;11:40:43;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
166017080000000;62;62-G1-25;;2;305,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;11:40:21;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
166017080000000;71;71-G1-25;;2;1400,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;11:44:39;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
166017080000000;72;72-G1-25;;2;1485,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;11:46:27;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
166017080000000;74;74-G1-25;;2;640,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;11:47:58;BAHMAN;AGUSTIN LOPEZ;7 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 11:36;43,15%;77,07%
