;;ITENS DE TRATO;;;;;;;;;;
Data de Inclusão;Id. Carregamento;;Hora;Dieta;;Carregamento;Ingrediente;Quantidade MN (kg);Motorista;Vagão;%MS Dieta Real;%NDT Dieta Real
13/09/2025;166054660000000;;11:32:42;TERMINACION SORGO-19/08/2025;;6;Sorgo, silagem;4225,000000000;RUBEN VIERA;BAHMAN;41,22%;78,60%
13/09/2025;166054910000000;;13:11:44;CRECIMIENTO SORGO.19/08/2025;;7;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,72%;77,03%
13/09/2025;166054910000000;;13:16:31;CRECIMIENTO SORGO.19/08/2025;;7;MAIZ HUMIDO;1521,000000000;RUBEN VIERA;BAHMAN;38,72%;77,03%
13/09/2025;166054400000000;;10:45:36;CRECIMIENTO SORGO.19/08/2025;;5;CALCAREO;28,777048544;RUBEN VIERA;BAHMAN;38,71%;77,01%
13/09/2025;166054400000000;;10:45:36;CRECIMIENTO SORGO.19/08/2025;;5;NUCLEO CONFINAMIENTO;31,651514563;RUBEN VIERA;BAHMAN;38,71%;77,01%
13/09/2025;166054400000000;;10:55:14;CRECIMIENTO SORGO.19/08/2025;;5;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,71%;77,01%
13/09/2025;166054660000000;;11:20:18;TERMINACION SORGO-19/08/2025;;6;Sorgo, grão úmido silagem;1605,000000000;RUBEN VIERA;BAHMAN;41,22%;78,60%
13/09/2025;166054660000000;;11:22:20;TERMINACION SORGO-19/08/2025;;6;MAIZ HUMIDO;1759,000000000;RUBEN VIERA;BAHMAN;41,22%;78,60%
13/09/2025;166054660000000;;11:24:39;TERMINACION SORGO-19/08/2025;;6;FARELO DE SOJA;300,264000000;RUBEN VIERA;BAHMAN;41,22%;78,60%
13/09/2025;166054160000000;;10:03:26;CRECIMIENTO SORGO.19/08/2025;;4;NUCLEO CONFINAMIENTO;31,272000000;RUBEN VIERA;BAHMAN;38,69%;77,06%
13/09/2025;166054160000000;;10:12:06;CRECIMIENTO SORGO.19/08/2025;;4;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,69%;77,06%
13/09/2025;166054400000000;;10:36:28;CRECIMIENTO SORGO.19/08/2025;;5;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,71%;77,01%
13/09/2025;166054400000000;;10:42:03;CRECIMIENTO SORGO.19/08/2025;;5;MAIZ HUMIDO;1516,000000000;RUBEN VIERA;BAHMAN;38,71%;77,01%
13/09/2025;166054400000000;;10:45:36;CRECIMIENTO SORGO.19/08/2025;;5;FARELO DE SOJA;316,806640777;RUBEN VIERA;BAHMAN;38,71%;77,01%
13/09/2025;166054400000000;;10:45:36;CRECIMIENTO SORGO.19/08/2025;;5;UREIA PECUARIA;39,999611650;RUBEN VIERA;BAHMAN;38,71%;77,01%
13/09/2025;166054000000000;;08:48:21;RECRIA FEMEA 08/08/2025;;3;CAPIASU;5627,000000000;RUBEN VIERA;BAHMAN;35,00%;63,87%
13/09/2025;166054160000000;;09:58:18;CRECIMIENTO SORGO.19/08/2025;;4;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,69%;77,06%
13/09/2025;166054160000000;;10:00:59;CRECIMIENTO SORGO.19/08/2025;;4;MAIZ HUMIDO;1521,000000000;RUBEN VIERA;BAHMAN;38,69%;77,06%
13/09/2025;166054160000000;;10:03:26;CRECIMIENTO SORGO.19/08/2025;;4;FARELO DE SOJA;313,008000000;RUBEN VIERA;BAHMAN;38,69%;77,06%
13/09/2025;166054160000000;;10:03:26;CRECIMIENTO SORGO.19/08/2025;;4;UREIA PECUARIA;39,520000000;RUBEN VIERA;BAHMAN;38,69%;77,06%
13/09/2025;166054160000000;;10:03:26;CRECIMIENTO SORGO.19/08/2025;;4;CALCAREO;28,432000000;RUBEN VIERA;BAHMAN;38,69%;77,06%
13/09/2025;166053750000000;;07:53:50;TERMINACION SORGO-19/08/2025;;2;Sorgo, silagem;4230,000000000;RUBEN VIERA;BAHMAN;41,17%;78,56%
13/09/2025;166054000000000;;08:34:45;RECRIA FEMEA 08/08/2025;;3;MAIZ HUMIDO;2069,000000000;RUBEN VIERA;BAHMAN;35,00%;63,87%
13/09/2025;166054000000000;;08:37:33;RECRIA FEMEA 08/08/2025;;3;FARELO DE SOJA;208,632000000;RUBEN VIERA;BAHMAN;35,00%;63,87%
